Provider URN,Provider status,Provider type,Sector,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,government_office_region_name,Event number,Event date,Event type group,Overall effectiveness,Outcomes in education and related learning activities,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
SC066010,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Sheffield,Yorkshire and The Humber,296476,05/06/2014,Full inspection,3,0,3,3,2,3
SC066179,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Devon,South West,296230,05/06/2014,Full inspection,3,0,3,3,2,3
SC066183,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,297151,09/05/2014,Full inspection,2,0,2,2,2,2
SC066250,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bristol,South West,297160,16/06/2014,Full inspection,2,0,2,3,2,2
SC067254,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Riding of Yorkshire,Yorkshire and The Humber,296017,05/06/2014,Full inspection,2,0,3,2,2,2
SC068145,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Somerset,South West,294294,08/05/2014,Full inspection,3,0,3,3,3,3
SC068223,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wigan,North West,297102,19/06/2014,Full inspection,2,0,2,1,2,2
SC068246,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,294517,14/05/2014,Full inspection,4,0,3,4,4,4
SC373958,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,296803,03/06/2014,Full inspection,3,0,2,2,3,3
SC035499,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,East Riding of Yorkshire,Yorkshire and The Humber,293969,06/05/2014,Full inspection,2,0,2,2,2,2
SC356565,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wolverhampton,West Midlands,296464,04/06/2014,Full inspection,3,0,3,3,3,3
SC358266,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wiltshire,South West,295439,23/05/2014,Full inspection,3,0,2,2,3,3
SC358638,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Stoke-on-Trent,West Midlands,295808,28/05/2014,Full inspection,3,0,3,3,3,3
SC358654,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Stoke-on-Trent,West Midlands,295083,20/05/2014,Full inspection,2,0,3,2,2,2
SC361090,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,294017,06/05/2014,Full inspection,2,0,2,2,3,2
